Type,Start,End
UTR,408313,408779
transcript,408313,430966
UTR,408343,408738
exon,408343,408779
transcript,408343,410764
start_codon,408739,408741
start_codon,408739,408741
CDS,408739,408779
CDS,408739,408779
start_codon,408758,408760
start_codon,408758,408760
CDS,408758,408779
CDS,408758,408779
exon,409881,410025
UTR,409881,410025
exon,409881,410025
CDS,409881,410025
exon,409881,410025
CDS,409881,410025
CDS,410412,410559
CDS,410412,410559
exon,410412,410764
exon,410412,410764
stop_codon,410560,410562
stop_codon,410560,410562
UTR,410560,410764
UTR,410560,410764
exon,417526,417619
UTR,417526,417619
exon,417526,417619
CDS,417526,417619
exon,417526,417619
CDS,417526,417619
exon,417526,417619
UTR,417526,417619
UTR,417732,417819
UTR,417732,417819
exon,417732,417930
exon,417732,417930
CDS,417732,417930
exon,417732,417930
CDS,417732,417930
exon,417732,417930
start_codon,417820,417822
start_codon,417820,417822
CDS,417820,417930
CDS,417820,417930
exon,419347,419468
CDS,419347,419468
exon,419347,419468
CDS,419347,419468
exon,419347,419468
CDS,419347,419468
exon,419347,419468
CDS,419347,419468
exon,419558,419731
CDS,419558,419731
exon,419558,419731
CDS,419558,419731
exon,419558,419731
CDS,419558,419731
exon,419558,419731
CDS,419558,419731
exon,420871,421031
CDS,420871,421031
exon,420871,421031
CDS,420871,421031
exon,422127,422238
CDS,422127,422238
exon,422127,422238
CDS,422127,422238
exon,422127,422238
CDS,422127,422238
exon,422127,422238
CDS,422127,422238
gene,423596,462566
exon,427313,427492
CDS,427313,427492
exon,427313,427492
CDS,427313,427492
exon,427313,427492
CDS,427313,427492
exon,427313,427492
CDS,427313,427492
exon,428491,428589
CDS,428491,428589
exon,428491,428589
CDS,428491,428589
exon,428491,428589
CDS,428491,428589
exon,428491,428589
CDS,428491,428589
exon,428951,429094
CDS,428951,429094
exon,428951,429094
CDS,428951,429094
exon,428951,429094
CDS,428951,429094
exon,428951,429094
CDS,428951,429094
CDS,430350,430427
CDS,430350,430427
CDS,430350,430427
CDS,430350,430427
exon,430350,430964
exon,430350,430966
exon,430350,430966
exon,430350,432139
stop_codon,430428,430430
stop_codon,430428,430430
stop_codon,430428,430430
stop_codon,430428,430430
UTR,430428,430964
UTR,430428,430966
UTR,430428,430966
UTR,430428,432139
UTR,435480,438588
exon,435480,438841
transcript,435480,462533
exon,435486,437598
UTR,435486,437598
transcript,435486,462550
UTR,435492,438588
UTR,435492,438588
exon,435492,438841
exon,435492,438841
transcript,435492,462516
transcript,435492,462519
UTR,435497,438588
exon,435497,438841
transcript,435497,462539
UTR,435502,438588
exon,435502,438841
transcript,435502,462539
exon,436293,437598
UTR,436293,437598
transcript,436293,462516
UTR,438550,438588
UTR,438550,438588
exon,438550,438841
exon,438550,438841
stop_codon,438586,438588
stop_codon,438586,438588
stop_codon,438586,438588
stop_codon,438586,438588
stop_codon,438586,438588
stop_codon,438586,438588
stop_codon,438586,438588
CDS,438589,438841
CDS,438589,438841
CDS,438589,438841
CDS,438589,438841
CDS,438589,438841
CDS,438589,438841
CDS,438589,438841
exon,439108,439220
CDS,439108,439220
exon,439108,439295
CDS,439108,439295
exon,439108,439295
CDS,439108,439295
exon,439108,439295
CDS,439108,439295
exon,439108,439295
CDS,439108,439295
exon,439108,439295
CDS,439108,439295
exon,439108,439295
CDS,439108,439295
exon,440248,440389
CDS,440248,440389
exon,440248,440389
CDS,440248,440389
exon,440248,440389
CDS,440248,440389
exon,440248,440389
CDS,440248,440389
exon,440248,440389
CDS,440248,440389
exon,440248,440389
CDS,440248,440389
exon,440248,440389
CDS,440248,440389
exon,440965,441060
CDS,440965,441060
exon,441588,441689
CDS,441588,441689
exon,441588,441689
CDS,441588,441689
exon,441588,441689
CDS,441588,441689
exon,441588,441689
CDS,441588,441689
exon,441588,441689
CDS,441588,441689
exon,441588,441689
CDS,441588,441689
exon,441588,441689
CDS,441588,441689
exon,441857,442043
CDS,441857,442043
exon,441857,442043
CDS,441857,442043
exon,441857,442043
CDS,441857,442043
exon,441857,442043
CDS,441857,442043
exon,441857,442043
CDS,441857,442043
exon,441857,442043
CDS,441857,442043
exon,441857,442043
CDS,441857,442043
exon,445050,445130
CDS,445050,445130
exon,445050,445130
CDS,445050,445130
exon,445050,445130
CDS,445050,445130
exon,445050,445130
CDS,445050,445130
exon,445050,445130
CDS,445050,445130
exon,445050,445130
CDS,445050,445130
exon,447889,448074
CDS,447889,448074
exon,447889,448074
CDS,447889,448074
exon,447889,448074
CDS,447889,448074
exon,447889,448074
CDS,447889,448074
exon,447889,448074
CDS,447889,448074
gene,450663,450762
transcript,450663,450762
exon,450663,450762
CDS,462336,462405
CDS,462336,462405
CDS,462336,462405
CDS,462336,462405
CDS,462336,462405
CDS,462336,462405
CDS,462336,462405
exon,462336,462516
exon,462336,462516
exon,462336,462519
exon,462336,462533
exon,462336,462539
exon,462336,462539
exon,462336,462550
start_codon,462403,462405
start_codon,462403,462405
start_codon,462403,462405
start_codon,462403,462405
start_codon,462403,462405
start_codon,462403,462405
start_codon,462403,462405
UTR,462406,462516
UTR,462406,462516
UTR,462406,462519
UTR,462406,462533
UTR,462406,462539
UTR,462406,462539
UTR,462406,462550
UTR,472498,483963
UTR,472498,483963
exon,472498,484076
exon,472498,484076
transcript,472498,543790
gene,472498,543835
transcript,472498,543835
exon,472508,473950
UTR,472508,473950
transcript,472508,543732
exon,473261,473950
UTR,473261,473950
transcript,473261,543738
UTR,478465,478665
exon,478465,478760
transcript,478465,543696
stop_codon,478663,478665
CDS,478666,478760
UTR,481110,483963
exon,481110,484076
transcript,481110,543792
UTR,481192,483963
exon,481192,484076
transcript,481192,543712
UTR,481623,483963
exon,481623,484076
transcript,481623,543727
UTR,482711,483963
exon,482711,484076
transcript,482711,543732
UTR,482715,484022
exon,482715,484090
transcript,482715,543712
UTR,482722,483963
exon,482722,484076
transcript,482722,543712
UTR,482724,483963
UTR,482724,483963
exon,482724,484076
exon,482724,484076
transcript,482724,543712
transcript,482724,543732
UTR,482748,483963
exon,482748,484076
transcript,482748,543735
UTR,482887,483963
exon,482887,484076
transcript,482887,543735
UTR,483390,483963
exon,483390,484076
transcript,483390,543732
UTR,483765,483963
exon,483765,484076
transcript,483765,543730
UTR,483791,483963
exon,483791,484076
transcript,483791,543787
UTR,483928,483963
UTR,483928,483963
exon,483928,484076
exon,483928,484076
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
stop_codon,483961,483963
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
CDS,483964,484076
stop_codon,484020,484022
CDS,484023,484090
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,486376,486462
CDS,486376,486462
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,487427,487575
CDS,487427,487575
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
exon,488678,488778
CDS,488678,488778
UTR,489503,489734
exon,489503,489881
transcript,489503,543718
stop_codon,489732,489734
CDS,489735,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,489780,489881
CDS,489780,489881
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,492254,492364
CDS,492254,492364
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
exon,495719,495802
CDS,495719,495802
CDS,497721,497738
CDS,497721,497738
CDS,497721,497738
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
exon,497721,497780
CDS,497721,497780
start_codon,497736,497738
start_codon,497736,497738
start_codon,497736,497738
UTR,497739,497780
UTR,497739,497780
UTR,497739,497780
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
UTR,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
UTR,499255,499305
exon,499255,499305
UTR,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499255,499305
CDS,499255,499305
exon,499525,499573
UTR,499525,499573
exon,499525,499630
UTR,499525,499630
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
UTR,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
UTR,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
UTR,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,499833,499934
CDS,499833,499934
exon,500031,500115
UTR,500031,500115
UTR,503307,503452
exon,503307,503695
transcript,503307,543781
stop_codon,503450,503452
CDS,503453,503695
UTR,504166,505072
exon,504166,505229
transcript,504166,543816
stop_codon,505070,505072
CDS,505073,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
UTR,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
UTR,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
UTR,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
exon,505118,505229
CDS,505118,505229
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
CDS,508451,508551
exon,508451,508605
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
exon,508451,508660
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
start_codon,508549,508551
UTR,508552,508605
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
UTR,508552,508660
exon,526696,526942
UTR,526696,526942
exon,526696,526942
UTR,526696,526942
exon,526696,526942
UTR,526696,526942
exon,527933,528049
UTR,527933,528049
exon,527933,528049
UTR,527933,528049
exon,527933,528049
UTR,527933,528049
exon,527933,528049
UTR,527933,528049
exon,540890,541099
UTR,540890,541099
exon,543672,543696
UTR,543672,543696
exon,543672,543712
UTR,543672,543712
exon,543672,543712
UTR,543672,543712
exon,543672,543712
UTR,543672,543712
exon,543672,543712
UTR,543672,543712
exon,543672,543718
UTR,543672,543718
exon,543672,543727
UTR,543672,543727
exon,543672,543730
UTR,543672,543730
exon,543672,543732
UTR,543672,543732
exon,543672,543732
UTR,543672,543732
exon,543672,543732
UTR,543672,543732
exon,543672,543732
UTR,543672,543732
exon,543672,543735
UTR,543672,543735
exon,543672,543735
UTR,543672,543735
exon,543672,543738
UTR,543672,543738
exon,543672,543781
UTR,543672,543781
exon,543672,543787
UTR,543672,543787
exon,543672,543790
UTR,543672,543790
exon,543672,543792
UTR,543672,543792
exon,543672,543816
UTR,543672,543816
exon,543672,543835
UTR,543672,543835
UTR,604257,604593
exon,604257,604665
gene,604257,610309
transcript,604257,610309
stop_codon,604591,604593
CDS,604594,604665
CDS,609713,610237
exon,609713,610309
start_codon,610235,610237
UTR,610238,610309
UTR,646615,648716
exon,646615,648917
gene,646615,653200
transcript,646615,653200
UTR,646626,648858
exon,646626,648917
gene,646626,675800
transcript,646626,675800
stop_codon,648714,648716
CDS,648717,648917
stop_codon,648856,648858
CDS,648859,648917
CDS,652976,653185
exon,652976,653200
start_codon,653183,653185
UTR,653186,653200
exon,654231,654320
CDS,654231,654320
UTR,661596,663673
exon,661596,664461
gene,661596,675802
transcript,661596,675802
stop_codon,663671,663673
CDS,663674,664461
CDS,675469,675601
CDS,675469,675601
exon,675469,675800
exon,675469,675802
start_codon,675599,675601
start_codon,675599,675601
UTR,675602,675800
UTR,675602,675802
UTR,760080,760921
UTR,760080,761028
UTR,760080,761028
exon,760080,761238
exon,760080,761238
exon,760080,761238
UTR,760080,761652
exon,760080,761824
transcript,760080,765825
transcript,760080,768500
transcript,760080,768633
gene,760080,776015
transcript,760080,776015
UTR,760094,761028
exon,760094,761238
transcript,760094,768500
stop_codon,760919,760921
CDS,760922,761238
stop_codon,761026,761028
stop_codon,761026,761028
stop_codon,761026,761028
CDS,761029,761238
CDS,761029,761238
CDS,761029,761238
stop_codon,761650,761652
CDS,761653,761824
exon,761701,761824
CDS,761701,761824
exon,761701,761824
CDS,761701,761824
exon,761701,761824
CDS,761701,761824
exon,761701,761824
CDS,761701,761824
UTR,762076,763478
exon,762076,764003
transcript,762076,768424
stop_codon,763476,763478
CDS,763479,764003
exon,763498,764003
CDS,763498,764003
exon,763498,764003
CDS,763498,764003
exon,763498,764003
CDS,763498,764003
exon,763498,764003
CDS,763498,764003
CDS,765208,765774
CDS,765208,765774
CDS,765208,765774
CDS,765208,765774
CDS,765208,765774
CDS,765208,765774
exon,765208,765825
exon,765208,765825
exon,765208,765825
exon,765208,765825
exon,765208,765825
exon,765208,766334
start_codon,765772,765774
start_codon,765772,765774
start_codon,765772,765774
start_codon,765772,765774
start_codon,765772,765774
start_codon,765772,765774
UTR,765775,765825
UTR,765775,765825
UTR,765775,765825
UTR,765775,765825
UTR,765775,765825
UTR,765775,766334
exon,768297,768424
UTR,768297,768424
exon,768297,768482
UTR,768297,768482
exon,768297,768500
UTR,768297,768500
exon,768297,768500
UTR,768297,768500
exon,768297,768633
UTR,768297,768633
exon,775955,776015
UTR,775955,776015
exon,833715,833951
UTR,833715,833951
transcript,833715,846277
gene,833715,857463
exon,833777,833951
UTR,833777,833951
transcript,833777,846279
exon,833784,833951
UTR,833784,833951
transcript,833784,846279
exon,836068,836114
UTR,836068,836114
transcript,836068,846279
gene,839447,839977
transcript,839447,839977
exon,839447,839977
exon,839455,839563
UTR,839455,839563
exon,841275,841316
UTR,841275,841316
transcript,841275,846279
UTR,844708,844804
UTR,844708,844804
UTR,844708,844804
UTR,844708,844804
exon,844708,846277
exon,844708,846279
exon,844708,846279
exon,844708,846279
UTR,844711,844804
exon,844711,846279
start_codon,844805,844807
start_codon,844805,844807
start_codon,844805,844807
start_codon,844805,844807
start_codon,844805,844807
CDS,844805,845689
CDS,844805,845689
CDS,844805,845689
CDS,844805,845689
CDS,844805,845689
stop_codon,845690,845692
stop_codon,845690,845692
stop_codon,845690,845692
stop_codon,845690,845692
stop_codon,845690,845692
UTR,845690,846277
UTR,845690,846279
UTR,845690,846279
UTR,845690,846279
UTR,845690,846279
UTR,869900,872962
exon,869900,873120
gene,869900,916334
transcript,869900,916334
stop_codon,872960,872962
CDS,872963,873120
exon,874284,874414
CDS,874284,874414
exon,878161,878327
CDS,878161,878327
exon,879747,879848
CDS,879747,879848
exon,881171,881286
CDS,881171,881286
exon,885078,885325
CDS,885078,885325
exon,888318,888439
CDS,888318,888439
exon,890213,890368
CDS,890213,890368
CDS,915906,916214
exon,915906,916334
start_codon,916212,916214
UTR,916215,916334
UTR,958452,960359
exon,958452,960466
gene,958452,1002311
transcript,958452,1002311
UTR,960254,960359
exon,960254,960466
transcript,960254,1002264
stop_codon,960357,960359
stop_codon,960357,960359
CDS,960360,960466
CDS,960360,960466
exon,963935,964120
CDS,963935,964120
exon,967174,967314
CDS,967174,967314
exon,967174,967314
CDS,967174,967314
exon,967950,968138
CDS,967950,968138
exon,967950,968138
CDS,967950,968138
CDS,1002086,1002164
CDS,1002086,1002164
exon,1002086,1002264
exon,1002086,1002311
start_codon,1002162,1002164
start_codon,1002162,1002164
UTR,1002165,1002264
UTR,1002165,1002311
exon,1023874,1025728
transcript,1023874,1118467
gene,1023874,1118476
exon,1028465,1029545
transcript,1028465,1031028
exon,1030541,1031028
exon,1031384,1031499
exon,1031455,1031499
transcript,1031455,1039915
exon,1035653,1035821
exon,1037454,1039915
exon,1059230,1059328
gene,1113240,1189415
exon,1113263,1113409
UTR,1113263,1113409
transcript,1113263,1167782
exon,1118384,1118467
UTR,1118598,1118773
exon,1118598,1118902
transcript,1118598,1167328
UTR,1118602,1118773
exon,1118602,1118902
transcript,1118602,1172246
UTR,1118753,1118773
exon,1118753,1118902
start_codon,1118774,1118776
start_codon,1118774,1118776
start_codon,1118774,1118776
CDS,1118774,1118902
CDS,1118774,1118902
CDS,1118774,1118902
exon,1125498,1125650
CDS,1125498,1125650
exon,1125498,1125650
CDS,1125498,1125650
exon,1125498,1125650
CDS,1125498,1125650
exon,1127426,1127508
